iter	Passed	Remaining
0	5	530
1	8	440
2	12	414
3	16	395
4	21	401
5	24	388
6	28	376
7	31	367
8	36	367
9	40	363
10	43	355
11	47	349
12	52	348
13	55	343
14	59	336
15	63	333
16	67	331
17	72	328
18	75	323
19	79	317
20	83	313
21	87	309
22	90	303
23	94	299
24	98	294
25	102	292
26	106	288
27	110	285
28	114	281
29	118	276
30	122	273
31	126	268
32	131	266
33	135	263
34	138	257
35	143	254
36	146	249
37	151	246
38	155	242
39	158	237
40	162	234
41	167	230
42	170	226
43	174	221
44	177	217
45	182	214
46	188	212
47	191	207
48	197	205
49	203	203
50	210	201
51	216	200
52	221	196
53	225	191
54	230	188
55	235	185
56	239	180
57	245	177
58	249	173
59	255	170
60	259	165
61	264	162
62	268	157
63	272	153
64	277	149
65	283	146
66	288	142
67	294	138
68	299	134
69	304	130
70	309	126
71	315	122
72	318	117
73	321	113
74	327	109
75	331	104
76	336	100
77	342	96
78	346	92
79	350	87
80	354	83
81	359	78
82	364	74
83	369	70
84	376	66
85	380	61
86	384	57
87	390	53
88	395	48
89	399	44
90	407	40
91	412	35
92	416	31
93	421	26
94	426	22
95	430	17
96	434	13
97	440	8
98	444	4
99	448	0
